NUTS3,CODE
'NL323','1966
'NL416','5462
'NL328','1822
'NL127','9143
'NL127','9148
'NL127','8892
'NL127','9146
'NL350','4145
'NL421','5856
'NL127','9289
'NL127','8894
'NL323','1968
'NL127','9287
'NL230','3893
'NL224','4147
'NL132','9537
'NL225','7035
'NL225','7037
'NL127','8896
'NL415','4288
'NL230','3895
'NL225','7039
'NL127','8893
'NL414','5645
'NL363','2224
'NL362','2616
'NL226','6821
'NL414','5642
'NL342','4322
'NL127','9291
'NL225','6964
'NL362','2613
'NL114','9541
'NL225','7217
'NL414','5644
'NL230','8224
'NL363','2221
'NL416','5392
'NL225','7215
'NL363','2362
'NL416','5394
'NL342','4327
'NL363','2223
'NL350','3931
'NL127','9293
'NL226','6822
'NL213','7609
'NL225','6961
'NL32B','1046
'NL414','5641
'NL114','9687
'NL342','4328
'NL416','5396
'NL414','5646
'NL226','6572
'NL114','9685
'NL362','2612
'NL342','4326
'NL230','8222
'NL414','5643
'NL221','8096
'NL213','7608
'NL128','8615
'NL226','6961
'NL416','5391
'NL362','2614
'NL225','7216
'NL114','9684
'NL114','9665
'NL342','4323
'NL32B','1045
'NL230','8223
'NL230','8221
'NL211','8346
'NL225','7218
'NL114','9686
'NL32B','1047
'NL230','8225
'NL416','5395
'NL226','6571
'NL211','8347
'NL127','9292
'NL363','2222
'NL342','4325
'NL221','8097
'NL114','9688
'NL128','8618
'NL362','2611
'NL225','7213
'NL366','3145
'NL32B','1185
'NL32B','1435
'NL415','4856
'NL128','8755
'NL32B','1187
'NL128','8757
'NL422','6039
'NL411','4714
'NL342','4464
'NL213','7607
'NL32B','1044
'NL342','4463
'NL422','6037
'NL32B','1041
'NL366','3146
'NL366','2752
'NL32B','1189
'NL213','7606
'NL411','4715
'NL32B','1043
'NL128','8613
'NL225','7214
'NL366','2751
'NL128','8759
'NL114','9682
'NL211','8363
'NL342','4321
'NL213','7603
'NL32B','1182
'NL32B','1186
'NL128','8617
'NL32B','1184
'NL128','8614
'NL363','2361
'NL128','8756
'NL213','7605
'NL342','4462
'NL128','8612
'NL211','8362
'NL342','4465
'NL32B','1188
'NL128','8758
'NL32B','1438
'NL415','4859
'NL32B','1042
'NL127','9009
'NL32B','1436
'NL350','1188
'NL225','7211
'NL415','4858
'NL366','3147
'NL128','8616
'NL221','7352
'NL114','9681
'NL128','8611
'NL32B','1437
'NL423','6413
'NL325','1561
'NL423','6164
'NL350','3401
'NL366','3297
'NL366','3151
'NL415','5111
'NL416','5258
'NL366','3291
'NL423','6433
'NL415','5113
'NL414','5509
'NL127','8881
'NL132','9528
'NL350','3544
'NL366','3295
'NL422','6041
'NL423','6415
'NL323','1951
'NL414','5507
'NL350','3546
'NL132','7754
'NL422','6043
'NL127','9132
'NL415','4861
'NL423','6439
'NL127','8883
'NL366','3299
'NL350','3402
'NL323','1975
'NL423','6181
'NL414','5505
'NL226','6827
'NL416','5255
'NL127','9134
'NL132','7756
'NL323','1974
'NL350','3542
'NL226','6579
'NL325','1562
'NL423','6414
'NL423','6165
'NL213','7610
'NL366','3292
'NL127','9136
'NL422','6042
'NL423','6438
'NL132','7895
'NL414','5508
'NL350','3541
'NL132','9526
'NL416','5257
'NL132','7753
'NL350','3545
'NL221','7361
'NL328','1812
'NL132','9527
'NL127','9135
'NL132','7751
'NL127','8882
'NL127','9131
'NL423','6436
'NL415','5114
'NL350','3543
'NL127','9133
'NL213','7611
'NL132','7755
'NL127','9137
'NL366','3293
'NL423','6431
'NL132','9524
'NL127','9271
'NL132','9521
'NL416','5251
'NL132','7891
'NL363','2225
'NL414','5504
'NL226','6826
'NL416','5254
'NL416','5253
'NL132','7894
'NL226','6825
'NL414','5503
'NL323','1971
'NL226','6576
'NL323','1972
'NL414','5502
'NL226','6574
'NL414','5501
'NL226','6823
'NL132','9523
'NL423','6432
'NL226','6828
'NL226','6824
'NL226','6573
'NL414','5647
'NL414','5506
'NL226','6578
'NL416','5397
'NL416','5256
'NL132','9525
'NL323','1976
'NL416','5398
'NL114','9663
'NL323','1973
'NL416','5252
'NL132','7892
'NL226','6575
'NL226','6577
'NL366','3136
'NL365','2741
'NL411','4701
'NL411','4847
'NL211','7739
'NL366','3131
'NL350','3527
'NL32B','1421
'NL414','6024
'NL32B','1171
'NL342','4453
'NL366','3134
'NL221','7341
'NL411','4845
'NL32B','1424
'NL32B','1423
'NL361','2492
'NL365','2742
'NL411','4702
'NL366','3137
'NL342','4455
'NL423','6419
'NL414','6026
'NL128','8601
'NL128','8747
'NL411','4844
'NL328','1815
'NL366','3132
'NL128','8493
'NL32B','1422
'NL325','1567
'NL411','4849
'NL126','8494
'NL128','8744
'NL211','7737
'NL342','4451
'NL211','7736
'NL128','8602
'NL328','1814
'NL366','3135
'NL128','8748
'NL221','7345
'NL350','1427
'NL414','6029
'NL328','1817
'NL225','7095
'NL366','3133
'NL32B','1031
'NL350','3528
'NL128','8745
'NL361','2493
'NL414','6027
'NL126','8497
'NL128','8742
'NL126','8495
'NL133','8351
'NL211','7738
'NL328','1816
'NL350','1426
'NL225','7091
'NL414','6021
'NL423','6417
'NL213','7482
'NL350','3524
'NL423','6166
'NL213','7481
'NL350','3523
'NL423','6416
'NL211','7731
'NL325','1566
'NL350','3526
'NL411','4841
'NL126','8491
'NL423','6418
'NL414','6023
'NL128','8743
'NL211','7735
'NL328','1813
'NL366','3273
'NL350','3525
'NL213','7483
'NL328','1811
'NL211','7732
'NL366','3274
'NL423','6163
'NL350','3522
'NL423','6167
'NL132','7877
'NL128','8741
'NL127','9138
'NL211','7734
'NL127','8884
'NL127','8885
'NL363','2215
'NL226','6562
'NL132','7881
'NL411','4707
'NL363','2351
'NL361','2498
'NL230','8211
'NL363','2353
'NL411','4709
'NL414','5632
'NL416','5384
'NL226','6956
'NL342','4318
'NL416','5386
'NL128','8606
'NL363','2211
'NL350','3921
'NL127','8922
'NL361','2497
'NL342','4315
'NL342','4458
'NL411','4708
'NL225','7204
'NL32B','1033
'NL363','2352
'NL226','6952
'NL225','7207
'NL342','4317
'NL416','5382
'NL363','2212
'NL416','5241
'NL414','5631
'NL211','8356
'NL32B','1036
'NL127','8921
'NL226','6813
'NL32B','1037
'NL416','5381
'NL114','9672
'NL363','2355
'NL342','4311
'NL128','8607
'NL115','9925
'NL342','4316
'NL226','6561
'NL114','9675
'NL32B','1035
'NL224','4064
'NL226','6811
'NL127','9067
'NL226','6953
'NL226','6951
'NL416','5383
'NL225','7206
'NL226','6955
'NL226','6957
'NL414','5633
'NL114','9674
'NL224','4061
'NL114','9673
'NL128','8603
'NL128','8749
'NL225','7203
'NL114','9671
'NL411','4706
'NL128','8605
'NL361','2496
'NL225','7202
'NL411','4703
'NL342','4456
'NL411','4705
'NL221','7348
'NL128','8604
'NL221','7346
'NL211','8355
'NL32B','1034
'NL225','7201
'NL128','8746
'NL32B','1032
'NL365','1428
'NL414','6028
'NL366','3138
'NL224','4063
'NL361','2491
'NL365','2743
'NL342','4454
'NL225','7205
'NL411','4704
'NL361','2495
'NL224','4062
'NL32B','1175
'NL350','3512
'NL131','9462
'NL366','3262
'NL411','4851
'NL415','5102
'NL323','1942
'NL423','6174
'NL350','3927
'NL350','3511
'NL366','3261
'NL350','3907
'NL350','3905
'NL323','1946
'NL213','7472
'NL415','5106
'NL211','7722
'NL423','6155
'NL115','9712
'NL341','4581
'NL366','3281
'NL416','5248
'NL127','9851
'NL127','9853
'NL115','9853
'NL211','7721
'NL323','1949
'NL115','9997
'NL321','1695
'NL415','5105
'NL323','1941
'NL115','9999
'NL325','1551
'NL350','3513
'NL213','7471
'NL321','1696
'NL132','7741
'NL213','7491
'NL350','3533
'NL321','1693
'NL415','5103
'NL128','8535
'NL132','7742
'NL323','1945
'NL131','9461
'NL366','3264
'NL350','3534
'NL350','3532
'NL423','6151
'NL366','3284
'NL415','5107
'NL132','7864
'NL323','1943
'NL350','3906
'NL212','8144
'NL366','3263
'NL321','1697
'NL323','1944
'NL226','6546
'NL416','5249
'NL415','5104
'NL128','8537
'NL212','8141
'NL323','1947
'NL127','9852
'NL115','9998
'NL350','3531
'NL128','8538
'NL115','9713
'NL321','1692
'NL128','8539
'NL132','7889
'NL128','8536
'NL423','6153
'NL115','9995
'NL132','7887
'NL416','5242
'NL323','1962
'NL416','5388
'NL226','6814
'NL226','6564
'NL226','6816
'NL226','6566
'NL416','5244
'NL128','8531
'NL416','5247
'NL211','8281
'NL127','8926
'NL132','7885
'NL115','9996
'NL415','5101
'NL221','3925
'NL128','8532
'NL423','6422
'NL226','6812
'NL127','8927
'NL416','5246
'NL128','8534
'NL127','8924
'NL323','1961
'NL416','5243
'NL423','6171
'NL423','6421
'NL132','7884
'NL416','5245
'NL321','1691
'NL350','3922
'NL226','6815
'NL363','2216
'NL127','8925
